country_sector,country,icio_sector
AGO_A01,AGO,A01
AGO_A02,AGO,A02
AGO_A03,AGO,A03
AGO_B05,AGO,B05
AGO_B06,AGO,B06
AGO_B07,AGO,B07
AGO_B08,AGO,B08
AGO_B09,AGO,B09
AGO_C10T12,AGO,C10T12
AGO_C13T15,AGO,C13T15
AGO_C16,AGO,C16
AGO_C17_18,AGO,C17_18
AGO_C19,AGO,C19
AGO_C20,AGO,C20
AGO_C21,AGO,C21
AGO_C22,AGO,C22
AGO_C23,AGO,C23
AGO_C24A,AGO,C24A
AGO_C24B,AGO,C24B
AGO_C25,AGO,C25
AGO_C26,AGO,C26
AGO_C27,AGO,C27
AGO_C28,AGO,C28
AGO_C29,AGO,C29
AGO_C301,AGO,C301
AGO_C302T309,AGO,C302T309
AGO_C31T33,AGO,C31T33
AGO_D,AGO,D
AGO_E,AGO,E
AGO_F,AGO,F
AGO_G,AGO,G
AGO_H49,AGO,H49
AGO_H50,AGO,H50
AGO_H51,AGO,H51
AGO_H52,AGO,H52
AGO_H53,AGO,H53
AGO_I,AGO,I
AGO_J58T60,AGO,J58T60
AGO_J61,AGO,J61
AGO_J62_63,AGO,J62_63
AGO_K,AGO,K
AGO_L,AGO,L
AGO_M,AGO,M
AGO_N,AGO,N
AGO_O,AGO,O
AGO_P,AGO,P
AGO_Q,AGO,Q
AGO_R,AGO,R
AGO_S,AGO,S
AGO_T,AGO,T
ARE_A01,ARE,A01
ARE_A02,ARE,A02
ARE_A03,ARE,A03
ARE_B05,ARE,B05
ARE_B06,ARE,B06
ARE_B07,ARE,B07
ARE_B08,ARE,B08
ARE_B09,ARE,B09
ARE_C10T12,ARE,C10T12
ARE_C13T15,ARE,C13T15
ARE_C16,ARE,C16
ARE_C17_18,ARE,C17_18
ARE_C19,ARE,C19
ARE_C20,ARE,C20
ARE_C21,ARE,C21
ARE_C22,ARE,C22
ARE_C23,ARE,C23
ARE_C24A,ARE,C24A
ARE_C24B,ARE,C24B
ARE_C25,ARE,C25
ARE_C26,ARE,C26
ARE_C27,ARE,C27
ARE_C28,ARE,C28
ARE_C29,ARE,C29
ARE_C301,ARE,C301
ARE_C302T309,ARE,C302T309
ARE_C31T33,ARE,C31T33
ARE_D,ARE,D
ARE_E,ARE,E
ARE_F,ARE,F
ARE_G,ARE,G
ARE_H49,ARE,H49
ARE_H50,ARE,H50
ARE_H51,ARE,H51
ARE_H52,ARE,H52
ARE_H53,ARE,H53
ARE_I,ARE,I
ARE_J58T60,ARE,J58T60
ARE_J61,ARE,J61
ARE_J62_63,ARE,J62_63
ARE_K,ARE,K
ARE_L,ARE,L
ARE_M,ARE,M
ARE_N,ARE,N
ARE_O,ARE,O
ARE_P,ARE,P
ARE_Q,ARE,Q
ARE_R,ARE,R
ARE_S,ARE,S
ARE_T,ARE,T
ARG_A01,ARG,A01
ARG_A02,ARG,A02
ARG_A03,ARG,A03
ARG_B05,ARG,B05
ARG_B06,ARG,B06
ARG_B07,ARG,B07
ARG_B08,ARG,B08
ARG_B09,ARG,B09
ARG_C10T12,ARG,C10T12
ARG_C13T15,ARG,C13T15
ARG_C16,ARG,C16
ARG_C17_18,ARG,C17_18
ARG_C19,ARG,C19
ARG_C20,ARG,C20
ARG_C21,ARG,C21
ARG_C22,ARG,C22
ARG_C23,ARG,C23
ARG_C24A,ARG,C24A
ARG_C24B,ARG,C24B
ARG_C25,ARG,C25
ARG_C26,ARG,C26
ARG_C27,ARG,C27
ARG_C28,ARG,C28
ARG_C29,ARG,C29
ARG_C301,ARG,C301
ARG_C302T309,ARG,C302T309
ARG_C31T33,ARG,C31T33
ARG_D,ARG,D
ARG_E,ARG,E
ARG_F,ARG,F
ARG_G,ARG,G
ARG_H49,ARG,H49
ARG_H50,ARG,H50
ARG_H51,ARG,H51
ARG_H52,ARG,H52
ARG_H53,ARG,H53
ARG_I,ARG,I
ARG_J58T60,ARG,J58T60
ARG_J61,ARG,J61
ARG_J62_63,ARG,J62_63
ARG_K,ARG,K
ARG_L,ARG,L
ARG_M,ARG,M
ARG_N,ARG,N
ARG_O,ARG,O
ARG_P,ARG,P
ARG_Q,ARG,Q
ARG_R,ARG,R
ARG_S,ARG,S
ARG_T,ARG,T
AUS_A01,AUS,A01
AUS_A02,AUS,A02
AUS_A03,AUS,A03
AUS_B05,AUS,B05
AUS_B06,AUS,B06
AUS_B07,AUS,B07
AUS_B08,AUS,B08
AUS_B09,AUS,B09
AUS_C10T12,AUS,C10T12
AUS_C13T15,AUS,C13T15
AUS_C16,AUS,C16
AUS_C17_18,AUS,C17_18
AUS_C19,AUS,C19
AUS_C20,AUS,C20
AUS_C21,AUS,C21
AUS_C22,AUS,C22
AUS_C23,AUS,C23
AUS_C24A,AUS,C24A
AUS_C24B,AUS,C24B
AUS_C25,AUS,C25
AUS_C26,AUS,C26
AUS_C27,AUS,C27
AUS_C28,AUS,C28
AUS_C29,AUS,C29
AUS_C301,AUS,C301
AUS_C302T309,AUS,C302T309
AUS_C31T33,AUS,C31T33
AUS_D,AUS,D
AUS_E,AUS,E
AUS_F,AUS,F
AUS_G,AUS,G
AUS_H49,AUS,H49
AUS_H50,AUS,H50
AUS_H51,AUS,H51
AUS_H52,AUS,H52
AUS_H53,AUS,H53
AUS_I,AUS,I
AUS_J58T60,AUS,J58T60
AUS_J61,AUS,J61
AUS_J62_63,AUS,J62_63
AUS_K,AUS,K
AUS_L,AUS,L
AUS_M,AUS,M
AUS_N,AUS,N
AUS_O,AUS,O
AUS_P,AUS,P
AUS_Q,AUS,Q
AUS_R,AUS,R
AUS_S,AUS,S
AUS_T,AUS,T
AUT_A01,AUT,A01
AUT_A02,AUT,A02
AUT_A03,AUT,A03
AUT_B05,AUT,B05
AUT_B06,AUT,B06
AUT_B07,AUT,B07
AUT_B08,AUT,B08
AUT_B09,AUT,B09
AUT_C10T12,AUT,C10T12
AUT_C13T15,AUT,C13T15
AUT_C16,AUT,C16
AUT_C17_18,AUT,C17_18
AUT_C19,AUT,C19
AUT_C20,AUT,C20
AUT_C21,AUT,C21
AUT_C22,AUT,C22
AUT_C23,AUT,C23
AUT_C24A,AUT,C24A
AUT_C24B,AUT,C24B
AUT_C25,AUT,C25
AUT_C26,AUT,C26
AUT_C27,AUT,C27
AUT_C28,AUT,C28
AUT_C29,AUT,C29
AUT_C301,AUT,C301
AUT_C302T309,AUT,C302T309
AUT_C31T33,AUT,C31T33
AUT_D,AUT,D
AUT_E,AUT,E
AUT_F,AUT,F
AUT_G,AUT,G
AUT_H49,AUT,H49
AUT_H50,AUT,H50
AUT_H51,AUT,H51
AUT_H52,AUT,H52
AUT_H53,AUT,H53
AUT_I,AUT,I
AUT_J58T60,AUT,J58T60
AUT_J61,AUT,J61
AUT_J62_63,AUT,J62_63
AUT_K,AUT,K
AUT_L,AUT,L
AUT_M,AUT,M
AUT_N,AUT,N
AUT_O,AUT,O
AUT_P,AUT,P
AUT_Q,AUT,Q
AUT_R,AUT,R
AUT_S,AUT,S
AUT_T,AUT,T
BEL_A01,BEL,A01
BEL_A02,BEL,A02
BEL_A03,BEL,A03
BEL_B05,BEL,B05
BEL_B06,BEL,B06
BEL_B07,BEL,B07
BEL_B08,BEL,B08
BEL_B09,BEL,B09
BEL_C10T12,BEL,C10T12
BEL_C13T15,BEL,C13T15
BEL_C16,BEL,C16
BEL_C17_18,BEL,C17_18
BEL_C19,BEL,C19
BEL_C20,BEL,C20
BEL_C21,BEL,C21
BEL_C22,BEL,C22
BEL_C23,BEL,C23
BEL_C24A,BEL,C24A
BEL_C24B,BEL,C24B
BEL_C25,BEL,C25
BEL_C26,BEL,C26
BEL_C27,BEL,C27
BEL_C28,BEL,C28
BEL_C29,BEL,C29
BEL_C301,BEL,C301
BEL_C302T309,BEL,C302T309
BEL_C31T33,BEL,C31T33
BEL_D,BEL,D
BEL_E,BEL,E
BEL_F,BEL,F
BEL_G,BEL,G
BEL_H49,BEL,H49
BEL_H50,BEL,H50
BEL_H51,BEL,H51
BEL_H52,BEL,H52
BEL_H53,BEL,H53
BEL_I,BEL,I
BEL_J58T60,BEL,J58T60
BEL_J61,BEL,J61
BEL_J62_63,BEL,J62_63
BEL_K,BEL,K
BEL_L,BEL,L
BEL_M,BEL,M
BEL_N,BEL,N
BEL_O,BEL,O
BEL_P,BEL,P
BEL_Q,BEL,Q
BEL_R,BEL,R
BEL_S,BEL,S
BEL_T,BEL,T
BGD_A01,BGD,A01
BGD_A02,BGD,A02
BGD_A03,BGD,A03
BGD_B05,BGD,B05
BGD_B06,BGD,B06
BGD_B07,BGD,B07
BGD_B08,BGD,B08
BGD_B09,BGD,B09
BGD_C10T12,BGD,C10T12
BGD_C13T15,BGD,C13T15
BGD_C16,BGD,C16
BGD_C17_18,BGD,C17_18
BGD_C19,BGD,C19
BGD_C20,BGD,C20
BGD_C21,BGD,C21
BGD_C22,BGD,C22
BGD_C23,BGD,C23
BGD_C24A,BGD,C24A
BGD_C24B,BGD,C24B
BGD_C25,BGD,C25
BGD_C26,BGD,C26
BGD_C27,BGD,C27
BGD_C28,BGD,C28
BGD_C29,BGD,C29
BGD_C301,BGD,C301
BGD_C302T309,BGD,C302T309
BGD_C31T33,BGD,C31T33
BGD_D,BGD,D
BGD_E,BGD,E
BGD_F,BGD,F
BGD_G,BGD,G
BGD_H49,BGD,H49
BGD_H50,BGD,H50
BGD_H51,BGD,H51
BGD_H52,BGD,H52
BGD_H53,BGD,H53
BGD_I,BGD,I
BGD_J58T60,BGD,J58T60
BGD_J61,BGD,J61
BGD_J62_63,BGD,J62_63
BGD_K,BGD,K
BGD_L,BGD,L
BGD_M,BGD,M
BGD_N,BGD,N
BGD_O,BGD,O
BGD_P,BGD,P
BGD_Q,BGD,Q
BGD_R,BGD,R
BGD_S,BGD,S
BGD_T,BGD,T
BGR_A01,BGR,A01
BGR_A02,BGR,A02
BGR_A03,BGR,A03
BGR_B05,BGR,B05
BGR_B06,BGR,B06
BGR_B07,BGR,B07
BGR_B08,BGR,B08
BGR_B09,BGR,B09
BGR_C10T12,BGR,C10T12
BGR_C13T15,BGR,C13T15
BGR_C16,BGR,C16
BGR_C17_18,BGR,C17_18
BGR_C19,BGR,C19
BGR_C20,BGR,C20
BGR_C21,BGR,C21
BGR_C22,BGR,C22
BGR_C23,BGR,C23
BGR_C24A,BGR,C24A
BGR_C24B,BGR,C24B
BGR_C25,BGR,C25
BGR_C26,BGR,C26
BGR_C27,BGR,C27
BGR_C28,BGR,C28
BGR_C29,BGR,C29
BGR_C301,BGR,C301
BGR_C302T309,BGR,C302T309
BGR_C31T33,BGR,C31T33
BGR_D,BGR,D
BGR_E,BGR,E
BGR_F,BGR,F
BGR_G,BGR,G
BGR_H49,BGR,H49
BGR_H50,BGR,H50
BGR_H51,BGR,H51
BGR_H52,BGR,H52
BGR_H53,BGR,H53
BGR_I,BGR,I
BGR_J58T60,BGR,J58T60
BGR_J61,BGR,J61
BGR_J62_63,BGR,J62_63
BGR_K,BGR,K
BGR_L,BGR,L
BGR_M,BGR,M
BGR_N,BGR,N
BGR_O,BGR,O
BGR_P,BGR,P
BGR_Q,BGR,Q
BGR_R,BGR,R
BGR_S,BGR,S
BGR_T,BGR,T
BLR_A01,BLR,A01
BLR_A02,BLR,A02
BLR_A03,BLR,A03
BLR_B05,BLR,B05
BLR_B06,BLR,B06
BLR_B07,BLR,B07
BLR_B08,BLR,B08
BLR_B09,BLR,B09
BLR_C10T12,BLR,C10T12
BLR_C13T15,BLR,C13T15
BLR_C16,BLR,C16
BLR_C17_18,BLR,C17_18
BLR_C19,BLR,C19
BLR_C20,BLR,C20
BLR_C21,BLR,C21
BLR_C22,BLR,C22
BLR_C23,BLR,C23
